1, 1, 719, 888, 6, 0
1, 2, 575, 751, 3, 0
1, 3, 487, 619, 0, 0
1, 4, 685, 553, 1, 0
1, 5, 845, 516, 2, 0
1, 6, 979, 599, 5, 0
1, 7, 1145, 719, 8, 0
1, 8, 911, 817, 7, 0
1, 9, 805, 1069, 0,2
1, 10, 1017, 967, 1,2
1, 11, 1171, 907, 2,2
1, 12, 1129, 1043, 5,2
1, 13, 1111, 1105, 8,2
1, 14, 886, 1250, 7,2
1, 15, 740, 1344, 6,2
1, 16, 751, 1225, 3,2
1, 17, 629, 1068, 2,1
1, 18, 592, 1196, 5,1
1, 19, 594, 1307, 8,1
1, 20, 510, 1192, 7,1
1, 21, 372, 949, 6,1
1, 22, 380, 899, 3,1
1, 23, 372, 742, 0,1
1, 24, 492, 875, 1,1
2, 25, 991, 311, 0,3
2, 26, 1060, 290, 1,3
2, 27, 1196, 250, 2,3
2, 28, 1205, 400, 5,3
2, 29, 1199, 594, 8,3
2, 30, 1068, 615, 7,3
2, 31, 942, 646, 6,3
2, 32, 945, 521, 3,3
2, 33, 1003, 729, 2,5
2, 34, 1109, 714, 5,5
2, 35, 1262, 680, 8,5
2, 36, 1343, 714, 7,5
2, 37, 1425, 744, 6,5
2, 38, 1303, 767, 3,5
2, 39, 1143, 782, 0,5
2, 40, 1091, 764, 1,5
2, 41, 1325, 582, 6,4
2, 42, 1418, 618, 7,4
2, 43, 1490, 660, 8,4
2, 44, 1490, 538, 5,4
2, 45, 1477, 350, 2,4
2, 46, 1398, 323, 1,4
2, 47, 1313, 259, 0,4
2, 48, 1310, 415, 3,4
